NaiveStockPricePicker,100000000,343656
NoInliningNaiveStockPricePicker,100000000,354073
NoOptimizationNaiveStockPricePicker,100000000,346915
AggressiveInliningNaiveStockPricePicker,100000000,360531
BetterStockPricePicker,100000000,299533
NoInliningBetterStockPricePicker,100000000,286652
NoOptimizationBetterStockPricePicker,100000000,291162
AggressiveInliningBetterStockPricePicker,100000000,287058
NaiveStockPricePicker,1000,25
NoInliningNaiveStockPricePicker,1000,13
NoOptimizationNaiveStockPricePicker,1000,7
AggressiveInliningNaiveStockPricePicker,1000,8
BetterStockPricePicker,1000,9
NoInliningBetterStockPricePicker,1000,8
NoOptimizationBetterStockPricePicker,1000,14
AggressiveInliningBetterStockPricePicker,1000,15
NaiveStockPricePicker,500000,1824
NoInliningNaiveStockPricePicker,500000,1655
NoOptimizationNaiveStockPricePicker,500000,1534
AggressiveInliningNaiveStockPricePicker,500000,1609
BetterStockPricePicker,500000,2015
NoInliningBetterStockPricePicker,500000,1678
NoOptimizationBetterStockPricePicker,500000,1667
AggressiveInliningBetterStockPricePicker,500000,1656
NaiveStockPricePicker,50000,175
NoInliningNaiveStockPricePicker,50000,166
NoOptimizationNaiveStockPricePicker,50000,159
AggressiveInliningNaiveStockPricePicker,50000,158
BetterStockPricePicker,50000,160
NoInliningBetterStockPricePicker,50000,168
NoOptimizationBetterStockPricePicker,50000,167
AggressiveInliningBetterStockPricePicker,50000,159
NaiveStockPricePicker,10000,27
NoInliningNaiveStockPricePicker,10000,45
NoOptimizationNaiveStockPricePicker,10000,45
AggressiveInliningNaiveStockPricePicker,10000,27
BetterStockPricePicker,10000,27
NoInliningBetterStockPricePicker,10000,26
NoOptimizationBetterStockPricePicker,10000,31
AggressiveInliningBetterStockPricePicker,10000,27
NaiveStockPricePicker,50000000,166640
NoInliningNaiveStockPricePicker,50000000,170092
NoOptimizationNaiveStockPricePicker,50000000,161366
AggressiveInliningNaiveStockPricePicker,50000000,172190
BetterStockPricePicker,50000000,142381
NoInliningBetterStockPricePicker,50000000,141283
NoOptimizationBetterStockPricePicker,50000000,139408
AggressiveInliningBetterStockPricePicker,50000000,140518
NaiveStockPricePicker,5000000,17555
NoInliningNaiveStockPricePicker,5000000,17333
NoOptimizationNaiveStockPricePicker,5000000,17492
AggressiveInliningNaiveStockPricePicker,5000000,15885
BetterStockPricePicker,5000000,14606
NoInliningBetterStockPricePicker,5000000,13644
NoOptimizationBetterStockPricePicker,5000000,14159
AggressiveInliningBetterStockPricePicker,5000000,13808
NaiveStockPricePicker,10000000,33257
NoInliningNaiveStockPricePicker,10000000,34925
NoOptimizationNaiveStockPricePicker,10000000,35557
AggressiveInliningNaiveStockPricePicker,10000000,34285
BetterStockPricePicker,10000000,28477
NoInliningBetterStockPricePicker,10000000,27711
NoOptimizationBetterStockPricePicker,10000000,29200
AggressiveInliningBetterStockPricePicker,10000000,27611
NaiveStockPricePicker,500,2
NoInliningNaiveStockPricePicker,500,3
NoOptimizationNaiveStockPricePicker,500,2
AggressiveInliningNaiveStockPricePicker,500,3
BetterStockPricePicker,500,3
NoInliningBetterStockPricePicker,500,3
NoOptimizationBetterStockPricePicker,500,2
AggressiveInliningBetterStockPricePicker,500,2
NaiveStockPricePicker,5000,15
NoInliningNaiveStockPricePicker,5000,15
NoOptimizationNaiveStockPricePicker,5000,14
AggressiveInliningNaiveStockPricePicker,5000,20
BetterStockPricePicker,5000,14
NoInliningBetterStockPricePicker,5000,13
NoOptimizationBetterStockPricePicker,5000,14
AggressiveInliningBetterStockPricePicker,5000,14
NaiveStockPricePicker,1000000,3203
NoInliningNaiveStockPricePicker,1000000,3391
NoOptimizationNaiveStockPricePicker,1000000,3914
AggressiveInliningNaiveStockPricePicker,1000000,2730
BetterStockPricePicker,1000000,2712
NoInliningBetterStockPricePicker,1000000,2712
NoOptimizationBetterStockPricePicker,1000000,2742
AggressiveInliningBetterStockPricePicker,1000000,2722
NaiveStockPricePicker,100000,335
NoInliningNaiveStockPricePicker,100000,338
NoOptimizationNaiveStockPricePicker,100000,332
AggressiveInliningNaiveStockPricePicker,100000,331
BetterStockPricePicker,100000,329
NoInliningBetterStockPricePicker,100000,326
NoOptimizationBetterStockPricePicker,100000,299
AggressiveInliningBetterStockPricePicker,100000,333
